ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12583079,JF100996,01/01/2022 01:00:00 AM,052XX S ALBANY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,923,9.0,14.0,63.0,14,,,2022,01/08/2022 03:48:19 PM,,,,01
12583634,JF102177,01/01/2022 01:00:00 AM,015XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,TAVERN / LIQUOR STORE,0,0,1424,14.0,1.0,24.0,08B,1162986.0,1910435.0,2022,10/11/2022 04:45:59 PM,41.909881891,-87.676690246,"(41.909881891, -87.676690246)",01
12582812,JF101207,01/01/2022 01:00:00 AM,042XX W MAYPOLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,1114,11.0,28.0,26.0,14,1147993.0,1901114.0,2022,10/11/2022 04:45:59 PM,41.884605834,-87.732008694,"(41.884605834, -87.732008694)",01
12638059,JF168781,01/01/2022 01:00:00 AM,063XX N TALMAN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),0,1,2413,24.0,50.0,2.0,26,1157510.0,1941997.0,2022,10/11/2022 04:45:59 PM,41.996603212,-87.69594451200001,"(41.996603212, -87.695944512)",01
12581790,JF100054,01/01/2022 01:00:00 AM,015XX W 70TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,0,734,7.0,16.0,67.0,14,1167076.0,1858303.0,2022,10/11/2022 04:45:59 PM,41.766739704,-87.66315957399999,"(41.766739704, -87.663159574)",01
12585671,JF104684,01/01/2022 01:00:00 AM,007XX E 114TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,531,5.0,9.0,50.0,14,1183427.0,1829539.0,2022,10/11/2022 04:45:59 PM,41.687442712,-87.60412037799999,"(41.687442712, -87.604120378)",01
12611949,JF136670,01/01/2022 01:00:00 AM,006XX N DEARBORN ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,0,0,1832,18.0,42.0,8.0,06,1175822.0,1904684.0,2022,10/11/2022 04:45:59 PM,41.893821538000005,-87.62970975100001,"(41.893821538, -87.629709751)",01
12582793,JF101180,01/01/2022 01:00:00 AM,004XX N STATE ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,0,0,1831,18.0,42.0,8.0,06,1176302.0,1903096.0,2022,10/11/2022 04:45:59 PM,41.889453169,-87.62799483299999,"(41.889453169, -87.627994833)",01
12582216,JF100523,01/01/2022 01:00:00 AM,027XX S HARDING AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,0,1,1031,10.0,22.0,30.0,04A,1150486.0,1885504.0,2022,10/11/2022 04:45:59 PM,41.841721851,-87.72326131700001,"(41.841721851, -87.723261317)",01
12581992,JF100098,01/01/2022 01:00:00 AM,003XX S WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,0,1,1125,11.0,27.0,28.0,08B,1160452.0,1898407.0,2022,10/11/2022 04:45:59 PM,41.876928903,-87.686332311,"(41.876928903, -87.686332311)",01
12581911,JF100112,01/01/2022 01:00:00 AM,042XX W MONROE ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,0,0,1115,11.0,28.0,26.0,06,1148061.0,1899322.0,2022,10/11/2022 04:45:59 PM,41.879687075,-87.731805111,"(41.879687075, -87.731805111)",01
12581974,JF100070,01/01/2022 01:00:00 AM,077XX S SOUTH SHORE DR,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,0,1,421,4.0,7.0,43.0,04A,1197153.0,1854870.0,2022,10/11/2022 04:45:59 PM,41.756623356,-87.55303151,"(41.756623356, -87.55303151)",01
12582058,JF100366,01/01/2022 01:00:00 AM,028XX N DAWSON AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,0,0,1412,14.0,35.0,21.0,04A,1153005.0,1918878.0,2022,10/11/2022 04:45:59 PM,41.93325402,-87.713132145,"(41.93325402, -87.713132145)",01
12582211,JF100519,01/01/2022 01:00:00 AM,006XX N CLARK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,1832,18.0,42.0,8.0,07,1175416.0,1904883.0,2022,10/11/2022 04:45:59 PM,41.894376732,-87.63119485600001,"(41.894376732, -87.631194856)",01
12582387,JF100689,01/01/2022 01:00:00 AM,055XX S ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,822,8.0,14.0,63.0,14,1153986.0,1867709.0,2022,10/11/2022 04:45:59 PM,41.792821055,-87.71089037,"(41.792821055, -87.71089037)",01
