ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12024531,JD202780,04/05/2020 05:30:00 PM,002XX W 107TH PL,0460,BATTERY,SIMPLE,APARTMENT,0,0,513,5.0,34.0,49.0,08B,1176554.0,1833653.0,2020,04/12/2020 03:49:10 PM,41.698889033,-87.62915834100001,"(41.698889033, -87.629158341)",04
12024437,JD202743,04/05/2020 05:31:00 PM,035XX W 79TH PL,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,0,0,834,8.0,18.0,70.0,15,1154190.0,1851655.0,2020,04/12/2020 03:49:10 PM,41.748762324,-87.710568581,"(41.748762324, -87.710568581)",04
12024227,JD202404,04/05/2020 05:35:00 AM,013XX S MILLARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1011,10.0,24.0,29.0,08B,1152251.0,1893634.0,2020,04/12/2020 03:49:10 PM,41.863996958,-87.716569985,"(41.863996958, -87.716569985)",04
12024802,JD203132,04/05/2020 05:40:00 PM,113XX S DRAKE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,0,0,2211,22.0,19.0,74.0,26,1154724.0,1829276.0,2020,04/12/2020 03:49:10 PM,41.687339692,-87.70920626799999,"(41.687339692, -87.709206268)",04
12024502,JD202824,04/05/2020 05:42:00 PM,045XX N WINCHESTER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,0,0,1912,19.0,47.0,4.0,26,1162603.0,1929982.0,2020,04/12/2020 03:49:10 PM,41.963528044,-87.677547934,"(41.963528044, -87.677547934)",04
12024457,JD202751,04/05/2020 05:51:00 PM,006XX W IRVING PARK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1925,19.0,46.0,6.0,08B,1170908.0,1926796.0,2020,04/12/2020 03:49:10 PM,41.954607083,-87.647107189,"(41.954607083, -87.647107189)",04
12024454,JD202755,04/05/2020 05:54:00 PM,026XX W LITHUANIAN PLAZA CT,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1,0,831,8.0,17.0,66.0,15,1159791.0,1858790.0,2020,04/12/2020 03:49:10 PM,41.768228761,-87.68984872899999,"(41.768228761, -87.689848729)",04
12024443,JD202758,04/05/2020 05:59:00 PM,048XX W WASHINGTON BLVD,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,0,0,1532,15.0,28.0,25.0,15,1144089.0,1900066.0,2020,04/12/2020 03:49:10 PM,41.881804169,-87.746371208,"(41.881804169, -87.746371208)",04
12024195,JD202439,04/05/2020 06:00:00 AM,071XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,324,3.0,7.0,43.0,14,1188052.0,1857743.0,2020,04/12/2020 03:49:10 PM,41.764728804,-87.586292974,"(41.764728804, -87.586292974)",04
12024432,JD202761,04/05/2020 06:00:00 PM,040XX W 26TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,1031,10.0,22.0,30.0,07,1149770.0,1886414.0,2020,04/12/2020 03:49:10 PM,41.844232935,-87.72586521299999,"(41.844232935, -87.725865213)",04
12024878,JD203197,04/05/2020 06:00:00 PM,035XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,0,0,212,2.0,4.0,36.0,08A,1181307.0,1881665.0,2020,04/12/2020 03:49:10 PM,41.830530933,-87.610277459,"(41.830530933, -87.610277459)",04
12026275,JD204753,04/05/2020 06:00:00 PM,057XX N SPAULDING AVE,0820,THEFT,$500 AND UNDER,STREET,0,0,1711,17.0,39.0,13.0,06,1153343.0,1937863.0,2020,04/12/2020 03:49:10 PM,41.985343397,-87.711383629,"(41.985343397, -87.711383629)",04
12024571,JD202855,04/05/2020 06:00:00 PM,078XX S COLES AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,1,421,4.0,7.0,43.0,08A,1197465.0,1853757.0,2020,04/12/2020 03:49:10 PM,41.753561435,-87.551925162,"(41.753561435, -87.551925162)",04
