ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
11998076,JD172423,03/01/2020 01:00:00 AM,008XX N ORLEANS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,BAR OR TAVERN,0,1,1823,18.0,27.0,8.0,08B,1173756.0,1906378.0,2020,03/08/2020 03:47:30 PM,41.898516209,-87.637246929,"(41.898516209, -87.637246929)",03
11995876,JD169802,03/01/2020 01:00:00 AM,050XX W CRYSTAL ST,0460,BATTERY,SIMPLE,STREET,0,0,2533,25.0,37.0,25.0,08B,1142563.0,1907852.0,2020,03/08/2020 03:47:30 PM,41.903198377,-87.75178094,"(41.903198377, -87.75178094)",03
11996421,JD170413,03/01/2020 01:00:00 AM,0000X N LOOMIS ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,1224,12.0,27.0,28.0,07,1166986.0,1900306.0,2020,03/08/2020 03:47:30 PM,41.88200224,-87.66228697700001,"(41.88200224, -87.662286977)",03
11996684,JD170833,03/01/2020 01:00:00 AM,0000X W ELM ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,0,0,1824,18.0,2.0,8.0,06,1175930.0,1908090.0,2020,03/08/2020 03:47:30 PM,41.90316534,-87.629210442,"(41.90316534, -87.629210442)",03
11996262,JD170268,03/01/2020 01:00:00 AM,044XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,924,9.0,15.0,61.0,14,1165089.0,1875349.0,2020,03/08/2020 03:47:30 PM,41.813558308000005,-87.669960623,"(41.813558308, -87.669960623)",03
12016048,JD193230,03/01/2020 01:00:00 PM,014XX W cortez st,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),0,0,1213,12.0,2.0,24.0,06,1166463.0,1907105.0,2020,03/26/2020 03:45:12 PM,41.900670397,-87.66401267399998,"(41.900670397, -87.664012674)",03
12179902,JD383736,03/01/2020 01:00:00 PM,028XX W 84TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,0,1,835,8.0,18.0,70.0,26,1158649.0,1848848.0,2020,10/02/2020 03:45:45 PM,41.740969743,-87.694305414,"(41.740969743, -87.694305414)",03
11996316,JD170329,03/01/2020 01:00:00 PM,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,0,0,1833,18.0,42.0,8.0,06,1177311.0,1905834.0,2020,03/08/2020 03:47:30 PM,41.896943556,-87.62420630700001,"(41.896943556, -87.624206307)",03
11996527,JD170355,03/01/2020 01:00:00 PM,079XX S STATE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,1,623,6.0,6.0,44.0,14,1177660.0,1852569.0,2020,03/08/2020 03:47:30 PM,41.750772111,-87.62453842299999,"(41.750772111, -87.624538423)",03
12165453,JD366930,03/01/2020 01:00:00 PM,042XX N KENMORE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,0,1915,19.0,46.0,3.0,08A,1168404.0,1928392.0,2020,09/17/2020 03:45:06 PM,41.959041217,-87.656265869,"(41.959041217, -87.656265869)",03
11996249,JD170273,03/01/2020 01:00:00 PM,111XX S MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,0,0,531,5.0,9.0,49.0,06,1178795.0,1830961.0,2020,03/08/2020 03:47:30 PM,41.69145123,-87.62103441200001,"(41.69145123, -87.621034412)",03
